[ 2017-04-30T09:55:21+08:00 ] /health/admin.php | INFO: Tag[ app_begin ] --START--
[ 2017-04-30T09:55:21+08:00 ] /health/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000374s ]
[ 2017-04-30T09:55:21+08:00 ] /health/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000477s ]
[ 2017-04-30T11:42:20+08:00 ] /health/admin.php/Admin/Login. | ERR: (ThinkException) 无法加载模块Admin
[ 2017-04-30T11:42:24+08:00 ] /health/admin.php/Admin/Login/ | ERR: (ThinkException) 无法加载模块Admin
[ 2017-04-30T11:42:29+08:00 ] /health/admin.php/Admin/Login/ | ERR: (ThinkException) 无法加载模块Admin
[ 2017-04-30T11:43:01+08:00 ] /health/admin.php/Admin/Login/index | ERR: (ThinkException) 无法加载模块Admin
[ 2017-04-30T11:44:53+08:00 ] /health/admin.php/Admin/Login/index | ERR: (ThinkException) 无法加载模块Admin
[ 2017-04-30T11:45:40+08:00 ] /health/admin.php/Login/index | ERR: (ThinkException) 模板不存在[./Admin/Tpl/Login/index.html]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000620s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000692s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000328s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000366s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000172s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000215s ]
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-30T11:46:22+08:00 ] /health/admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
