[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run ParseTemplate Behavior [ RunTime:0.011622s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011670s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_filter ] --START--
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run ContentReplace Behavior [ RunTime:0.000239s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run TokenBuild Behavior [ RunTime:0.000297s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000137s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000278s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001066s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_end ] --START--
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000266s ]
[ 2017-05-01T09:05:55+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000302s ]
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Tag[ route_check ] --START--
[ 2017-05-01T09:06:31+08:00 ] /health/Admin.php/Stu/add | INFO: Run CheckRoute Behavior [ RunTime:0.000850s ]
