[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run ParseTemplate Behavior [ RunTime:0.010303s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010356s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Tag[ view_filter ] --START--
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run ContentReplace Behavior [ RunTime:0.000261s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run TokenBuild Behavior [ RunTime:0.000296s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000249s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run ShowRuntime Behavior [ RunTime:0.000439s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001396s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Tag[ view_end ] --START--
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Run ShowPageTrace Behavior [ RunTime:0.000440s ]
[ 2017-05-02T18:56:01+08:00 ] /health/Admin.php/Single/addacademic | INFO: Tag[ view_end ] --END-- [ RunTime:0.000507s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Tag[ route_check ] --START--
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Run CheckRoute Behavior [ RunTime:0.000515s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Tag[ route_check ] --END-- [ RunTime:0.000576s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000493s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000536s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002239s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | SQL: SHOW COLUMNS FROM `czxy_roleadmin` [ RunTime:0.002186s ]
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-02T18:56:12+08:00 ] /health/Admin.php/Single/indexacademic | SQL: SELECT COUNT(*) AS tp_count FROM czxy_roleadmin a LEFT JOIN czxy_rolepri b ON b.rid=a.rid
